사업장명,도로명주소,위도,경도
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),37.56826882940681,126.9652077119028
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),37.57915670652751,126.99590636928569
세란병원,서울특별시 종로구 통일로 256 (무악동),37.57517833970064,126.95458493735565
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.56738863846013,126.96409341175004
국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",37.56742363619368,127.00312072139258
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),37.53370747233957,127.00141660596489
한양대학교병원,서울특별시 성동구 왕십리로 222-1 (사근동),37.55774177728399,127.04450340745234
재단법인베스티안재단베스티안서울병원,서울특별시 성동구 왕십리로 382 (하왕십리동),37.5650968863701,127.02514299498411
혜민병원,서울특별시 광진구 자양로 85 (자양동),37.535188757907406,127.08057395797753
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),37.54044280416215,127.0692167774423
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),37.596712591989835,127.04850461982858
삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),37.58932135512435,127.06155278730955
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.5842853009308,127.04707367206129
서울특별시 동부병원,서울특별시 동대문구 무학로 124 (용두동),37.575342880707204,127.02864582804179
의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",37.60076395910056,127.10637804865048
녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),37.58354316761331,127.08332326363406
서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),37.61298159487955,127.09507875104146
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",37.58714487358145,127.02409518287286
서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",37.64025067516325,127.0256770411609
의료법인성화의료재단  대한병원,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",37.635404902874754,127.02001313421799
의료법인한전의료재단 한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",37.64591605033264,127.02584057910802
한국원자력의학원원자력병원,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",37.62839821375755,127.07938024910862
인제대학교 상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.64866645128567,127.06009402242462
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.636461083363066,127.06703507430889
의료법인 청구성심병원,서울특별시 은평구 통일로 873 (갈현동),37.62078910987232,126.91666591532986
가톨릭대학교 은평성모병원,서울특별시 은평구 통일로 1021 (진관동),37.63358253910444,126.91321899352215
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),37.56469964305744,126.9366069810422
의료법인동신의료재단 동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",37.58130503435697,126.93360961217137
서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),37.51189561800296,126.83026716752542
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),37.53649124550728,126.88337865776435
홍익병원,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",37.528491721927935,126.86077196729079
이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",37.55759636411802,126.83328592211937
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),37.552225331315405,126.8331191443234
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",37.55683990650636,126.84810450770709
우리들병원,서울특별시 강서구 하늘길 70 (과해동),37.561810719619906,126.79576851998266
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.492109023194246,126.88185425995248
구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",37.49962844996833,126.86348656433702
희명병원,서울특별시 금천구 시흥대로 244 (시흥동),37.45572364333568,126.89773270359436
성애의료재단 성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",37.51206028892821,126.91989039264
한림대학교 강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",37.49330065444253,126.90581034293966
가톨릭대학교 여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.518085504676094,126.9336982254776
명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",37.493916799949915,126.89636330062403
한림대학교 한강성심병원,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",37.52317904216413,126.90681834130156
씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",37.51885342329639,126.90128288502873
대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",37.49057863772219,126.90419885873669
중앙대학교병원,서울특별시 동작구 흑석로 102 (흑석동),37.507048545357016,126.95797257508185
서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),37.493771955187704,126.92140601744345
의료법인서울효천의료재단 에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",37.484207991282695,126.9296229845218
기쁨병원,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",37.48278819519731,127.0151273862856
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시 서초구 반포대로 222 (반포동),37.50007956203165,127.00235677399971
