관광지명,위도,경도
홍길동테마파크,35.31862071,126.7265578
장성호관광지,35.41373254,126.8508186
수동관광지,37.75797919,127.2753596
평택호관광단지,36.914825,126.912951
서낙동강카누경기장,35.17013026,128.9068188
강서체육공원,35.21018443,128.9723366
렛츠런파크 부산경남,35.15474347,128.8819186
명월사지흥국사,35.13886951,128.8341451
맥도생태공원,35.15230906,128.9549009
대저생태공원,35.20985086,128.9845591
낙동강제방(강서30리벚꽃길),35.20985086,128.9845591
가덕도,35.05664068,128.8316554
부산영화체험박물관,35.10169342,129.033594
광복로,35.09947039,129.0311659
용두산공원,35.1009305,129.0324434
보수동책방골목,35.10323904,129.0263248
영도대교,35.09725344,129.035681
BIFF광장,35.09862035,129.0287588
40계단테마거리,35.10397225,129.0346287
자갈치시장,35.09661444,129.0305818
회상나루관광지,36.44187503,128.2657793
경천대관광지,36.45722382,128.2478641
땅끝관광지,34.29471348,126.5250233
우수영관광지,34.57257374,126.3101147
모항해수욕장,35.5831428,126.5082098
위도해수욕장,35.60583098,126.2853294
변산해수욕장,35.67999179,126.5309105
무주 덕유산 리조트,35.889797,127.731389
가위박물관,35.76592077,127.4150023
진안고원치유의숲,35.87516093,127.4177407
데미샘자연휴양림,35.6569938,127.4610402
운장산자연휴양림,35.89924607,127.4211096
용담호및주변시설,35.94593497,127.5256742
마이산도립공원 일원,35.75700898,127.3938329
운일암반일암,35.97596963,127.408748
덕산온천관광단지,36.69075649,126.659328
예당관광지,36.63801252,126.799434
교리관광지,37.01656717,128.1768531
제천온천관광지,36.92183352,128.1819714
제천 성내관광지,37.03366403,128.1751729
만남의광장,37.01083356,128.1811895
계산관광지,37.017861,128.130911
금월봉관광지,37.04384263,128.1736527
능강관광지,36.99002277,128.1956764
광덕계곡관광지,38.07630808,127.4817356
달맞이동산지구,35.15768146,129.1825429
해운대해수욕장,35.15910698,129.1602838
동백섬,35.15234205,129.1513619
요트올림픽동산지구,35.16578256,129.1350266
용호 Sea-Side 관광지,35.1004511779,129.1185343066
영도관광안내센터,35.09454127,129.0387847
궁산땅굴역사전시관,37.57266746,126.8383649
허준근린공원,37.56759867,126.8537291
허가바위,37.56983571,126.8500301
서울양천고성지,37.57425363,126.8413319
약사사,37.58312625,126.8050072
양천향교,37.572863,126.839905
신륵사관광지,37.29742583,127.6599364
진해해양레포츠센터,35.14129989,128.6883002
웅천도요지전시관,35.12738997,128.8155983
마산해양레포츠센터,35.19529973,128.5738199
창원과학체험관,35.230268,128.6617774
마금산온천,35.35464845,128.6094168
주남저수지,35.30732964,128.6779306
창원의집,35.24444959,128.6813533
창원단감테마공원,35.29915488,128.6632468
별밤미술관 in 선운,35.14604759,126.7732908
별밤미술관 in 신창,35.19467258,126.8452966
별밤미술관 in 운남,35.17144137,126.8159402
별밤미술관 in 수완,35.18597183,126.819001
별밤미술관 in 첨단,35.22222807,126.8442514
소촌아트팩토리,35.15262857,126.7912355
송정작은미술관,35.13510527,126.7933629
수완호수공원,35.18794733,126.8202489
쌍암공원,35.22222807,126.8442514
신창동 유적체험학습관,35.19348956,126.8504632
호가정,35.08243286,126.7871342
용아생가,35.14942906,126.7951682
무양서원,35.21001305,126.8400956
월봉서원,35.23583653,126.7451862
침산정,35.897221,128.5848591
구암서원,35.89881592,128.5989989
함지공원,35.9424608,128.570482
경북대학교 캠퍼스,35.88909849,128.6143217
금호강하중도,35.90019471,128.5595886
팔달대교 야경,35.89629048,128.5491628
운암지수변공원,35.93241418,128.5674979
꽃보라동산,35.88935018,128.601059
달성토성마을,35.87331563,128.5753765
표충사,35.532294,128.9590450
만어사,35.454932,128.8462220
밀양영남루,35.49154522,128.7556080
밀양관아,35.49429512,128.7543310
밀양향교,35.50660573,128.7545381
예림서원,35.46605971,128.7299691
작원관지,35.39853126,128.8665763
표충비,35.471582,128.6520376
주왕산 관광지,36.37813214,129.108598
불정자연휴양림,36.62128207,128.1365074
문경 활공랜드,36.7362239,128.1538507
문경 종합온천,36.72937376,128.1089547
문경짚라인,36.62285644,128.1367824
"고모산성, 토끼비리",36.66292256,128.1290151
문경 오미자테마터널,36.65989315,128.1286031
문경 철로자전거(가은역),36.64931827,128.0607306
문경 철로자전거(구랑리역),36.66102501,128.0993075
문경 철로자전거(진남역),36.65438526,128.1283486
문경 에코월드(석탄박물관 포함),36.65420039,128.0613259
문경새재 도립공원,36.76160207,128.0769905
광양 김 시식지,34.94697848,127.7519933
배알도수변공원,34.959931,127.7601849
해오름육교,34.93442662,127.7061606
무지개다리,34.93679857,127.715141
광양항해양공원,34.92127751,127.6939636
구봉산전망대,34.93646837,127.6427008
느랭이골자연리조트,35.06003247,127.7114041
광양매화문화관,35.07665864,127.7180474
윤동주 유고 보존 정병욱 가옥,34.97075423,127.759122
섬진강 망덕포구,34.96787088,127.7579265
기독교선교100주년기념관,35.04305027,127.6604508
국사봉랜드,35.00642478,127.6525399
광양 옥룡사지,35.04701721,127.6085305
백운산자연휴양림,35.05164423,127.5985292
해달별천문대,35.07478024,127.5540516
매천황현생가,34.99341564,127.561707
광양 궁시장,34.98778794,127.5865036
광양 마로산성,34.966742,127.619496
사라실 예술촌,34.962211,127.626222
사라실 라벤더 단지,35.04162939,127.270748
광양역사문화관,34.9757671,127.5859802
광양와인동굴,34.96130264,127.6085909
도립미술관,34.96887104,127.5903033
장도전수관,34.97705608,127.5805515
서천무지개분수대,34.9735109,127.5756854
유당공원,34.97010442,127.5924243
금강호관광지,36.01987856,126.7653058
은파관광지,35.95536227,126.6890748
춘장대,36.16334922,126.5243355
금강하구둑관광지,36.01993599,126.736726
수옥정,36.81361722,128.036232
괴강,36.80676203,127.8252917
산장관광지,37.754183,127.410629
대성관광지,37.681431,127.379521
누리천문대,37.33028283,126.9153444
물누리체험관,37.32136505,126.8996775
수리사,37.35443607,126.8967938
철쭉동산,37.35543392,126.924967
초막골 생태공원,37.35410097,126.9191417
반월호수,37.32458238,126.8899642
동구릉,37.617129,127.136334
고구려대장간마을,37.560808,127.110949
서빙고동 부군당,37.520454,126.993114
이슬람 중앙성원,37.5332513,126.997615
작은한강 부군당(한남제2부군당),37.529112,127.0047267
큰한강 부군당(한남제1부군당),37.531338,127.0103972
석정온천관광지,35.43111098,126.7405968
섬진강변 철쭉길,35.26690786,127.3325028
대황강자연휴식공원,35.12890532,127.2559931
반구정습지,35.11550817,127.2453298
대황강 출렁다리,35.15035107,127.3286414
곡성집라인,35.23192974,127.3698908
대관령어흘리관광지,37.719113,128.7959193
등명해변관광지,37.70232906,129.0161926
연곡해변관광지,37.85990446,128.8520583
주문진해변관광지,37.91144947,128.8177557
옥계해변관광지,37.62673237,129.0485254
금정산성마을,35.250339,129.0561338
부산대젊음의거리,35.229587,129.0888177
오륜대한국순교자박물관,35.24570172,129.1009016
요산문학관,35.27236562,129.085732
청도소싸움미디어체험관,35.68529236,128.7242012
한국코미디타운,35.69358927,128.6863109
청도박물관,35.6942561,128.6865383
아우라지 관광지,37.47574407,128.7243663
화암관광지,37.35092374,128.7896216
한산도 제승당,34.79264032,128.4759648
한려수도조망케이블카,34.82665041,128.4251243
한용운선생생가지,36.56214158,126.5529499
백야 김좌진 장군 생가,36.59786571,126.5471345
남당항,36.53886252,126.4716002
무창 농촌체험 휴양마을,35.28642041,127.1520961
상한 농촌체험 휴양마을,35.16105726,127.3987916
봉조 농촌체험 휴양마을,35.21496518,127.3604656
두계 농촌체험 휴양마을,35.24354627,127.3790396
섬진강변 자전거하이킹,35.27753393,127.3082912
미륵사지관광지,36.01154232,127.0287139
금마관광지,36.0015063,127.0570781
세빛섬· 반포대교 달빛무지개분수,37.5124362,126.9959623
고투몰,37.50622031,127.0050517
매헌 윤봉길의사 기념관,37.4730498,127.0369771
대신주말농장 정보화마을,35.29488111,127.3237142
봉정 농촌체험 휴양마을,35.19394727,127.3107811
칠봉 농촌체험 휴양마을,35.24620059,127.1802226
용암 농촌체험 휴양마을,35.12878212,127.3134337
죽산 농촌체험 휴양마을,35.23352336,127.1752282
가정 농촌체험 휴양마을,35.22727591,127.3704119
안개 농촌체험 휴양마을,35.29052093,127.3419816
태안사,35.13195828,127.3863807
태안사계곡,35.13195828,127.3863807
도림사계곡,35.26724907,127.2575171
청계동계곡,35.31375081,127.2525557
대황강자연휴식체혐장야영장,35.12497878,127.2550756
청계동솔바람야영장,35.31107436,127.2623887
도림사오토갬핑리조트,35.26209959,127.2668616
가정역(섬진강출렁다리),35.23018353,127.3682034
곡성기차당 뚝방마켓,35.27976851,127.2984376
소래역사관,37.39816347,126.7375992
춘천호반(삼악산),37.825714,127.659368
구곡폭포,37.797033,127.615852
다리안관광지,36.9647819,128.4207808
김해한옥체험관,35.23436297,128.8766847
클레이아크김해미술관,35.25086479,128.7457858
롯데워터파크,35.17891121,128.8285605
김해천문대,35.25306424,128.887298
가야랜드,35.25817158,128.9024348
김해낙동강레일파크,35.37177644,128.8208387
김해가야테마파크,35.25163508,128.8937494
프로방스 포토랜드,35.68397476,128.7187441
천동관광지,36.97401141,128.4165952
온달관광지,37.06295564,128.4929221
무창포해수욕장,36.24457737,126.5365426
대천해수욕장,36.31554012,126.5108563
김해수로왕릉,35.23487875,128.8772054
노무현대통령생가,35.31448783,128.7712136
울주 대곡리 반구대 암각화,35.60863087,129.172957
외고산옹기마을,35.435094,129.2795067
영남알프스 복합웰컴센터,35.55645417,129.0679842
진하해수욕장,35.38384823,129.3460154
와인터널,35.71513567,128.7205341
청도소싸움경기장,35.6867346,128.7251449
새마을운동발상지기념공원,35.60012971,128.7661487
청도신화랑풍류마을,35.71750257,128.9207343
청도자전거공원,35.5881145,128.7661742
청도레일바이크,35.58811543,128.7661723
왜목마을관광지,37.04493276,126.5246154
삽교호관광지,36.88890544,126.8247541
곡성아트빌리지,35.23004949,127.3677915
섬진강 침실습지,35.27503038,127.3335915
기차마을 장미공원,35.27753157,127.3082867
곡성 섬진강 기차마을,35.27753157,127.3082867
예천삼강,36.56378393,128.304509
예천포리관광지,36.70015808,128.514204
사선대관광지,35.672357,127.2746265
오수의견관광지,35.54520338,127.3326779
장림포구,35.08037994,128.95569762
금강공원,35.21962513,129.075758
박차정의사생가,35.20169645,129.090397
장영실과학동산,35.20916308,129.0896688
우장춘기념관,35.213515,129.0720181
금성당,37.6351354710,126.9253799732
은평역사한옥박물관,37.6403324561,126.9380102120
설악한화리조트,38.21030036,128.5287214
척산온천,38.19020313,128.5407019
속초해수욕장,38.19014884,128.6035305
설해원(양양국제공항),38.055556,128.664198
지경관광지,37.927413,128.794861
오색관광지,38.077061,128.5128997056
벽계관광지,35.42604967,128.2080942
방동관광지,37.94387136,128.3962628
한국이슬람부산성원,35.25998626,129.0922564
스포원파크,35.28912108,129.1070434
서동미로시장,35.21586987,129.102466
회동수원지,35.24707332,129.115753
범어사,35.28304308,129.0676212
결성동헌,36.551381,126.611921
홍주의사총,36.6048297,126.6708805
충남보훈관,36.602981,126.660651
홍주성 역사관,36.60019877,126.6609204
성삼문 선생 유허지,36.64524478,126.7310363
산청전통한방휴양관광지,35.441066,127.829361
왕궁보석테마 관광지,35.99061279,127.1025486
서포리관광지,37.2232919,126.1169337
남당항 해양분수공원,36.538115,126.473753
홍성스카이타워,36.576682,126.464427
달음산자연휴양림,35.291977,129.213303
박태준기념관,35.316877,129.261226
죽성드림세트장,35.24113258,129.2479302
장태산휴양림,36.21596913,127.3412778
대청호반,36.47362538,127.4735679
계족산황톳길,36.40406651,127.4297932
한밭수목원,36.36646857,127.3880154
엑스포과학공원,36.37662561,127.3871992
뿌리공원,36.28537962,127.3883000376
오월드,36.28749807,127.3985061
이병주문학관,35.09720238,127.8942256
삼성궁,35.23870093,127.7054288
화개장터,35.18798946,127.6240666
최참판댁,35.15590905,127.688408
정양레포츠공원,35.55690191,128.1668052
황계폭포,35.51135706,128.071173
영상테마파크&청와대세트장,35.54877253,128.0728984
황매산군립공원,35.48184913,128.0037495
합천박물관,35.58042271,128.2829423
오도산 자연휴양림,35.67233319,128.0553007
대장경테마파크,35.76749785,128.1365362
해인사,35.801504,128.0976255
화원관광지,35.8127712325,128.4806365248
비슬산관광지,35.6933423054,128.5058006463
서창한옥문화관,35.11523537,126.8300424
해양자연사박물관,35.2219498,129.075647
충렬사,35.199577,129.0959922
복천박물관,35.20877662,129.0911741
허심청,35.221157,129.0826889
동춘당,36.36537889,127.4412933
대전둘레산길,36.30879672,127.4231236
공주문화관광지,36.47022166,127.1117007
마곡사관광지,36.55617136,127.0205918
난지섬관광지,37.047036,126.4242087
망상,37.59225327,129.0896922
무릉계곡,37.463551,129.0146909
합천호회양관광단지,35.524398,128.016537
신소양체육공원,35.580901,128.170251
해인사 소리길,35.76749785,128.1365362
정양늪생태공원,35.55322772,128.162786
영산호관광지,34.776135,126.4577774
마한문화,34.89539241,126.5859196
성기동,34.75653201,126.6291224
송정관광지,34.7231451,128.0249667
빛가람호수공원전망대,35.01395501,126.7949874
일본인근대가옥,34.99946578,126.7131249
나주복암리고분전시관,34.99608962,126.6570592
영산포 역사갤러리,35.00072134,126.7115039
국립나주박물관,34.91485383,126.6589014
백호문학관,34.99694703,126.6668094
반남고분군,34.91475649,126.6613546
남파고택,35.03051267,126.7184493
금정산,35.28304264,129.0676208
송도용궁구름다리,35.0619212,129.021965
송도오션파크,35.0727183,129.0174477
임시수도기념관,35.10374876,129.0175954
구덕운동장,35.11659638,129.0145297
천마산조각공원,35.08903987,129.0174786
부산공동어시장,35.08990091,129.0263675
대신공원,35.121591,129.0161785
구덕문화공원,35.12641369,129.005742
암남공원,35.0616574,129.0149368
송도해수욕장,35.07682117,129.0180502
송도해상케이블카,35.07664334,129.0233986
마니산 국민관광지,37.63245827,126.4237957
김포함상공원,37.6406387,126.539261
애기봉 평화생태공원,37.75316598,126.5942484
직탕,38.2069247,127.2690548
하동 플라이웨이 케이블카,34.9807001529,127.8953015127
하동코리아짚와이어,34.98260917,127.894714
지리산역사관,35.2896912,127.646527
하동레일파크,35.11333681,127.8929765
압록유원지,35.19196269,127.3775123
압록상상스쿨,35.19580901,127.375484
섬진강도깨비마을,35.25424902,127.363209
곡성섬진강천문대,35.22666779,127.3691674
다덕약수관광지,36.9141215,128.8273232
오전약수관광지,37.01209531,128.7457209
함평자동차극장,35.0581392300,126.5226056000
꽃무릇공원,35.18352786,126.5452774
일강김철선생기념관,35.18893103,126.4801235
천은사,35.2730927149,127.476325
화엄사,35.2573160234,127.4977197326
섬진강대숲길,35.1863378056,127.4652530574
지리산정원,35.2872264338,127.4388392323
노고단,35.2362904501,127.5547985930
국악의 성지,35.459997,127.569101
혼불문학관,35.481096,127.319992
남원시립김병종미술관,35.398706,127.389555
남원항공우주천문대,35.399194,127.387388
춘향테마파크,35.401464,127.386902
남원관광지,35.402481,127.386137
아담원,35.440571,127.476826
만인의총,35.420404,127.377325
남원백두대간생태교육장전시관,35.397328,127.5079302
지리산허브밸리,35.435092,127.548617
섬진강어류생태관,35.1874522353,127.5465226180
지리산역사문화관,35.2440852427,127.4837598742
한국압화박물관,35.1966499793,127.4599106331
운조루,35.2059449812,127.5152885523
사성암,35.1801282769,127.480644
씨월드,34.835848,128.701478
청마기념관,34.854887,128.517123
우제봉전망대,34.73218035,128.6738928
바람의언덕,34.74401583,128.6632699
연천재인폭포,38.07672631,127.142345
한탄강관광지,38.00887699,127.0588604
대가야역사테마관광지,35.72008263,128.2596761
대가야생활촌,35.7118532,128.269244
유치환의 우체통,35.12209588,129.0338423
김민부전망대,35.1176995,129.0353474
168계단 부대시설,35.1176995,129.0353474
이바구충전소,35.11735028,129.034686
장기려더나눔센터,35.11853593,129.0326526
이바구공작소,35.11709939,129.0338233
유성온천,36.3547298,127.3375865
으능정이문화의거리,36.32934665,127.428337
대전문화예술단지,36.366496,127.3880154
광명동굴,37.42467857,126.8634321
신원재,36.255245,127.2705257
이심원충신정려현판,36.280034,127.2470773
염선재,36.2693923,127.261851
모원재,36.254886,127.2732753
사계고택,36.265691,127.2719783
은대리 문화벽돌공장,38.051066007,127.0713676999
연천전곡리유적,38.01564838,127.0614526
