longitude,latitude, traffic 
127.0634,37.43674,"  205,346 "
127.08964,37.41074,"  165,933 "
127.10355,37.34371,"  221,417 "
127.10373,37.2739,"  228,468 "
127.09992,37.22051,"  202,926 "
127.10576,37.2285,"  202,925 "
127.08548,37.15335,"  187,715 "
127.09589,37.18208,"  180,904 "
127.12916,37.07755,"  197,571 "
127.10413,37.12187,"  174,164 "
127.1871,36.86962,"  181,866 "
127.14633,37.01318,"  203,619 "
127.1891,36.92742,"  179,158 "
127.20144,36.76663,"  123,307 "
127.17534,36.78003,"  162,102 "
127.35683,36.68889,"  101,694 "
127.28853,36.73426,"  110,727 "
127.37509,36.64694,"  98,196 "
127.39934,36.61142,"  89,971 "
127.43217,36.54907,"  123,853 "
127.42713,36.57727,"  155,311 "
127.41821,36.46559,"  126,439 "
127.4223,36.41272,"  119,373 "
127.41763,36.43127,"  120,225 "
127.43921,36.37051,"  98,678 "
127.4696,36.34752,"  83,861 "
127.5518,36.32083,"  60,184 "
127.64833,36.28264,"  49,921 "
127.80389,36.27945,"  48,756 "
127.85482,36.23867,"  46,274 "
127.95729,36.21052,"  38,360 "
128.03423,36.14991,"  41,701 "
128.23441,36.16008,"  47,567 "
128.34158,36.12909,"  80,504 "
128.29218,36.14679,"  79,986 "
128.14715,36.12815,"  42,331 "
128.36113,36.08988,"  86,998 "
128.40784,36.05156,"  101,337 "
128.49385,35.90198,"  127,485 "
128.44698,35.96881,"  128,985 "
128.47109,35.93347,"  133,175 "
128.53595,35.89435,"  157,494 "
128.67723,35.89717,"  115,787 "
128.6163,35.91559,"  138,616 "
128.74895,35.87036,"  76,078 "
128.84822,35.88188,"  46,187 "
128.99286,35.92828,"  37,178 "
129.08046,35.85398,"  59,157 "
129.12262,35.82739,"  55,015 "
129.14403,35.60563,"  54,835 "
129.19618,35.77301,"  54,887 "
129.1276,35.561,"  54,302 "
129.10945,35.53329,"  62,574 "
129.06229,35.41228,"  81,398 "
129.04452,35.34566,"  100,005 "
129.09315,35.49469,"  75,627 "
129.09833,35.50734,"  75,368 "
129.10554,35.26441,"  70,102 "
129.10485,35.28171,"  66,675 "
129.07556,35.30603,"  88,696 "
126.82398,37.52375,"  186,926 "
126.76507,37.52412,"  178,834 "
126.73347,37.52389,"  161,075 "
126.69265,37.52353,"  213,427 "
127.40156,36.40789,"  83,781 "
127.33291,36.37519,"  76,997 "
127.3513,36.39714,"  73,253 "
127.31034,36.32613,"  64,912 "
127.31522,36.28299,"  54,176 "
